Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,123,4,Some Random Commen with Id 0
1,0,8,142,6,Some Random Commen with Id 1
2,0,8,167,7,Some Random Commen with Id 2
3,0,8,136,2,Some Random Commen with Id 3
4,0,8,99,9,Some Random Commen with Id 4
5,0,8,196,0,Some Random Commen with Id 5
6,0,8,42,1,Some Random Commen with Id 6
7,0,8,5,9,Some Random Commen with Id 7
8,0,8,119,5,Some Random Commen with Id 8
9,1,0,160,3,Some Random Commen with Id 9
10,1,0,151,4,Some Random Commen with Id 10
11,1,0,11,3,Some Random Commen with Id 11
12,1,0,144,6,Some Random Commen with Id 12
13,3,2,79,6,Some Random Commen with Id 13
14,3,2,194,3,Some Random Commen with Id 14
15,3,2,159,3,Some Random Commen with Id 15
16,3,2,189,2,Some Random Commen with Id 16
17,3,2,60,9,Some Random Commen with Id 17
18,3,2,183,2,Some Random Commen with Id 18
19,3,2,107,7,Some Random Commen with Id 19
20,4,3,182,5,Some Random Commen with Id 20
21,4,3,81,5,Some Random Commen with Id 21
22,4,3,95,3,Some Random Commen with Id 22
23,4,3,193,4,Some Random Commen with Id 23
24,5,6,184,2,Some Random Commen with Id 24
25,5,6,30,3,Some Random Commen with Id 25
26,6,5,87,7,Some Random Commen with Id 26
27,7,8,171,9,Some Random Commen with Id 27
28,7,8,145,7,Some Random Commen with Id 28
29,7,8,150,9,Some Random Commen with Id 29
30,7,8,129,7,Some Random Commen with Id 30
31,7,8,141,5,Some Random Commen with Id 31
32,7,8,168,4,Some Random Commen with Id 32
33,8,0,130,6,Some Random Commen with Id 33
34,9,0,11,4,Some Random Commen with Id 34
35,10,5,130,9,Some Random Commen with Id 35
36,10,5,75,9,Some Random Commen with Id 36
37,10,5,171,0,Some Random Commen with Id 37
38,10,5,48,1,Some Random Commen with Id 38
39,10,5,9,9,Some Random Commen with Id 39
40,10,5,30,5,Some Random Commen with Id 40
41,10,5,117,7,Some Random Commen with Id 41
42,11,3,96,9,Some Random Commen with Id 42
43,11,3,83,8,Some Random Commen with Id 43
44,12,0,61,8,Some Random Commen with Id 44
45,12,0,180,9,Some Random Commen with Id 45
46,12,0,67,8,Some Random Commen with Id 46
47,12,0,64,1,Some Random Commen with Id 47
48,12,0,8,1,Some Random Commen with Id 48
49,12,0,170,5,Some Random Commen with Id 49
